Molecule ChEMBL ID,Smiles,Comment,Filepath
CHEMBL1480030,COc1ccccc1NC(=O)c1cn(C)c(=O)c2cc(OC)c(OC)cc12,inactive,rank1_confidence-0.99.sdf
CHEMBL1418745,COc1ccc(-c2cc(C(=O)OCC(=O)c3c(N)n(C)c(=O)n(C)c3=O)c3ccccc3n2)cc1,inactive,rank1_confidence-0.51.sdf
CHEMBL1562747,Cc1ccc2c(c1)NC(=O)c1cc([N+](=O)[O-])ccc1O2,inactive,rank1_confidence-0.42.sdf
CHEMBL1874538,O=C(CC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O)NCc1ccc2c(c1)OCO2,inactive,rank1_confidence-0.84.sdf
CHEMBL1445494,COc1ccc(C(=O)c2sc(Nc3ccc(NC(C)=O)cc3)nc2C)cc1,inactive,rank1_confidence-0.59.sdf
CHEMBL1539543,CN(C)CCOC(=O)C12CC3CC(C1)CC(C(=O)OCCN(C)C)(C3)C2.Cl,inactive,rank1_confidence-1.65.sdf
CHEMBL1874558,CCN1C(=O)C(=O)N(CC(=O)c2[nH]c(C)c(C(C)=O)c2C)C1=O,inactive,rank1_confidence-0.36.sdf
CHEMBL1874585,O=C(Nc1ncccc1O)c1ccc(S(=O)(=O)NCc2ccco2)cc1,inactive,rank1_confidence-0.61.sdf
CHEMBL23970,Cc1cn(C2CCC(CO)O2)c(=O)[nH]c1=O,inactive,rank1_confidence-0.55.sdf
CHEMBL1886092,COCc1cccc(-c2csc(C(N)c3ccc(F)c(F)c3)n2)c1,inactive,rank1_confidence-0.59.sdf
CHEMBL1311274,CCOC(=O)C1CCN(c2cc3c(cc2NC(=O)c2ccc(OC)c(OC)c2)n(C)c(=O)n3C)CC1,inactive,rank1_confidence-0.97.sdf
CHEMBL1482643,O=C1CCCN1CCCNc1[nH]cnc2c3ccccc3nc1-2,inactive,rank1_confidence-0.77.sdf
CHEMBL3192076,C/C(=N\NC(=O)c1cc(-c2cccc([N+](=O)[O-])c2)[nH]n1)c1ccc(F)cc1,inactive,rank1_confidence-0.78.sdf
CHEMBL1448932,COc1nc(C)ccc1-c1noc(-c2ccncc2)n1,inactive,rank1_confidence-0.26.sdf
CHEMBL3192110,O=C(COc1cccc2ccccc12)N/N=C/c1ccccc1OCc1ccc(C(=O)O)cc1,inactive,rank1_confidence-0.85.sdf
CHEMBL1512002,CCc1cc(=O)oc2c3c(cc(OCC(=O)NCCCOC)c12)OC(C)(C)CC3,inactive,rank1_confidence-1.59.sdf
CHEMBL1719900,Cc1ccc(C(=O)Nc2cc(C)nn2CCC#N)cc1,inactive,rank1_confidence-1.39.sdf
CHEMBL1877486,Cc1ccnc2nc(C(=O)NCc3ccccc3)nn12,inactive,rank1_confidence-1.22.sdf
CHEMBL1409740,CCc1ccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)cc1,inactive,rank1_confidence-0.63.sdf
CHEMBL1729326,O=C(Nc1ccc(N2CCOCC2)c(S(=O)(=O)Nc2ccccc2Cl)c1)c1ccc(F)cc1,active,rank1_confidence-1.21.sdf
CHEMBL1449434,Cc1nc(N2CCCCC2C)c2c(C)c(C(=O)Nc3cccc(C(F)(F)F)c3)sc2n1,active,rank1_confidence-1.99.sdf
CHEMBL1505093,Cc1nnc(SCC(=O)Nc2ccc(O)cc2)c2ccccc12,inactive,rank1_confidence-0.53.sdf
CHEMBL1701506,NS(=O)(=O)c1ccc(CNC(=O)c2ccc(NS(=O)(=O)c3cccs3)cc2)cc1,inactive,rank1_confidence-0.73.sdf
CHEMBL1487846,CCCCOC(=O)c1ccc(NC(=O)Cc2coc3ccc(C(C)C)cc23)cc1,active,rank1_confidence-1.58.sdf
CHEMBL3193458,COC(=O)c1cc(NC(=O)CC2S/C(=N/c3ccccc3)N(CCc3c[nH]c4ccccc34)C2=O)cc(C(=O)OC)c1,active,rank1_confidence-1.35.sdf
CHEMBL1369430,O=C(CCc1nc2ccccc2[nH]1)Nc1ccc(F)cc1,inactive,rank1_confidence-1.23.sdf
CHEMBL1596731,CN(Cc1cccc2ccccc12)C(=O)c1cc(COc2c(F)cccc2F)on1,active,rank1_confidence-0.63.sdf
CHEMBL1462265,O=C(CC1CC2CCC1C2)OCC(=O)c1c[nH]c2ccccc12,active,rank1_confidence-0.71.sdf
CHEMBL1440478,CCN(CC)C(=O)c1sc2c(c1C)c(=O)n(-c1ccc(C)c(C)c1)c(=O)n2Cc1cccc(Cl)c1,active,rank1_confidence-1.58.sdf
CHEMBL3193352,Cc1ccc2nc(NCCCN3CCOCC3)c(/C=N/CCCN3CCOCC3)c(=O)n2c1,inactive,rank1_confidence-1.23.sdf
CHEMBL1383436,CCOC(=O)C1CCN(C(=O)c2cc3c(ccc4ccccc43)o2)CC1,inactive,rank1_confidence-0.62.sdf
CHEMBL1426078,Cc1nc2c(=O)oc3ccccc3c2n1-c1ccccc1,inactive,rank1_confidence-0.32.sdf
CHEMBL1419191,Cc1cc(O)nc(SCC(=O)OCc2ccccc2)c1C#N,inactive,rank1_confidence-1.29.sdf
CHEMBL1970537,COC(=O)c1c(C)[nH]c(/C=N/Nc2ccccc2)c1C,active,rank1_confidence-0.57.sdf
CHEMBL1575520,CCS(=O)(=O)N1Cc2ccccc2CC1C(=O)Nc1cc(S(C)(=O)=O)ccc1Cl,inactive,rank1_confidence-1.69.sdf
CHEMBL1569930,COC(=O)CSc1nc2sc(C)c(C)c2c(=O)n1C,inactive,rank1_confidence-0.58.sdf
CHEMBL1543522,CC(=O)c1ccc(NC(=S)N2CCCC2)cc1,inactive,rank1_confidence-0.55.sdf
CHEMBL1371627,Cc1nnc2sc(-c3cccc(NC(=O)c4cccnc4)c3)nn12,inactive,rank1_confidence-0.34.sdf
CHEMBL1330077,COc1ccc(NC(=O)CSc2[nH]cnc3nncc2-3)cc1,inactive,rank1_confidence-0.77.sdf
CHEMBL1719311,Cc1nnc(SCC(=O)Nc2nccs2)n1N,inactive,rank1_confidence-0.74.sdf
CHEMBL1501549,O=[N+]([O-])c1cnc(Nc2ccc(Cl)cn2)c([N+](=O)[O-])c1,inactive,rank1_confidence-0.92.sdf
CHEMBL2131429,Cc1ccc(-c2ccc3c(c2)O[C@H](CN(C)Cc2cncnc2)[C@@H](C)CN([C@H](C)CO)S3(=O)=O)cc1,inactive,rank1_confidence-1.78.sdf
CHEMBL1430240,N=C(NOC(=O)c1ccco1)c1ccc(Br)cc1,inactive,rank1_confidence-0.48.sdf
CHEMBL3192620,COc1ccc(/C=N/NC(=O)c2ccc(=O)n(C)c2)cc1OC,inactive,rank1_confidence-0.56.sdf
CHEMBL1438785,CCOc1cc(CNCCSc2nnnn2C)cc(Br)c1OCc1ccccc1.Cl,active,rank1_confidence-1.43.sdf
CHEMBL1611761,Cc1ccc(-c2nc3c(cnn3-c3ccccc3)c(=O)n2-c2cccc(Cl)c2)cc1,active,rank1_confidence-0.67.sdf
CHEMBL1563559,O=C(Nc1cccc(F)c1)c1coc(=O)c(Br)c1,inactive,rank1_confidence-0.38.sdf
CHEMBL1537402,CCOC(=O)c1nn(-c2ccc(F)cc2)cc1O,inactive,rank1_confidence-0.46.sdf
CHEMBL1504800,CN(C)c1nc(N)c2ncc(S)nc2n1,inactive,rank1_confidence-0.12.sdf
CHEMBL1719248,O=C(O)c1cccc(Nc2ncnc3scc(-c4ccccc4)c23)c1,inactive,rank1_confidence-0.76.sdf
CHEMBL1729610,Cc1nnc2c(NCCc3ccccc3)nc3ccccc3n12,inactive,rank1_confidence-0.53.sdf
CHEMBL1382709,CCOC(=O)N1CCC(N=C(S)Nc2ccc3nc(N4CCN(CC)CC4)cc(C)c3c2)CC1,active,rank1_confidence-0.58.sdf
CHEMBL3211378,COc1cccc(C(=O)/N=c2\sc3cc(S(C)(=O)=O)ccc3n2C)c1,inactive,rank1_confidence-0.61.sdf
CHEMBL1477564,COc1ccc(C2C(C(=O)Nc3cccnc3)=C(C)Nc3nc(-c4ccc(OC)c(OC)c4)nn32)cc1,inactive,rank1_confidence-1.45.sdf
CHEMBL1306816,O=C(c1ccccc1)c1nn(-c2ccc(Cl)cc2)c(=O)cc1C(F)(F)F,active,rank1_confidence-0.29.sdf
CHEMBL1516967,COc1cc(CNc2ccc3[nH]c(O)nc3c2)cc(Br)c1OCC(=O)NC(C)(C)C,inactive,rank1_confidence-0.72.sdf
CHEMBL1898167,CCc1ccccc1Nc1ncnc2c1cnn2-c1ccc(C)cc1C,active,rank1_confidence-0.61.sdf
CHEMBL1903015,O=C(Nc1ccc([N+](=O)[O-])cc1)C(c1ccccc1)c1ccccc1,active,rank1_confidence-1.46.sdf
CHEMBL1707890,COc1ccc(S(=O)(=O)N(C)c2ccc(C(=O)NCC3CCCO3)cc2)cc1OC,inactive,rank1_confidence-1.42.sdf
CHEMBL1383726,COc1ccc(C(=O)NCc2nnc(SCC(=O)c3ccccc3)n2C)cc1,inactive,rank1_confidence-1.14.sdf
CHEMBL1431121,CNc1nc(C)c(C(C)(C)C)s1,inactive,rank1_confidence-0.61.sdf
CHEMBL1338856,COc1ccccc1NC(=O)CN1CCN(Cc2ccccc2)CC1,inactive,rank1_confidence-0.49.sdf
CHEMBL1382789,O=C(Nc1nnc(Cc2ccccc2)s1)c1ccccc1,inactive,rank1_confidence-0.54.sdf
CHEMBL1711093,Cc1ccc(-n2nc3c(=O)n(C(C)C(=O)NCCCc4ccccc4)nc(C)c3c2C)cc1,active,rank1_confidence-0.68.sdf
CHEMBL1864311,CC1(C)NC(=O)[C@H]2CCCN21,inactive,rank1_confidence-0.60.sdf
CHEMBL1508885,O=C(NCCOc1nc(N2CCOCC2)nc(N2CCOCC2)n1)Nc1ccccc1,inactive,rank1_confidence-1.31.sdf
CHEMBL1430363,CC(NC(=O)Cn1nc(C(=O)O)c2ccccc2c1=O)C12CC3CC(CC(C3)C1)C2,inactive,rank1_confidence-0.69.sdf
CHEMBL3212053,C/C(=N\Nc1ccc(C#N)cc1[N+](=O)[O-])c1ccc(C)o1,inactive,rank1_confidence-0.55.sdf
CHEMBL3212062,COC(=O)c1ccc(/C=N/OCC(=O)NC2CCCCCCC2)cc1,active,rank1_confidence-0.65.sdf
CHEMBL1586748,COc1ccc(-c2noc(-c3cc(C)cc(C)c3)n2)cc1OC,inactive,rank1_confidence-0.55.sdf
CHEMBL1622,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,inactive,rank1_confidence-0.92.sdf
CHEMBL284328,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[Br-],active,rank1_confidence-0.62.sdf
CHEMBL1309764,CCN=C(S)NNC(=O)Cn1nc(C)cc1C,inactive,rank1_confidence-0.44.sdf
CHEMBL1885688,CCCn1cnc2c(SCc3ccccc3F)nc(N)nc21,inactive,rank1_confidence-1.08.sdf
CHEMBL1458023,Fc1ccccc1N1CCN(c2cnc3ccccc3n2)CC1,active,rank1_confidence-0.71.sdf
CHEMBL1383234,O=C(Nc1nnc(-c2ccc(Cl)cc2)o1)Nc1ccccc1F,inactive,rank1_confidence-0.25.sdf
CHEMBL1722871,C=CCC[C@H](Cc1ccc(F)cc1)C(=O)OC[C@@H](NC(=O)[C@@H](CC=C)CC(=O)N[C@H](CO)Cc1ccccc1)C(C)(C)C,active,rank1_confidence-2.11.sdf
CHEMBL1611713,CC1CCN(c2nc3ccc(C(=O)NC(C)C)cc3s2)CC1,active,rank1_confidence-0.68.sdf
CHEMBL1594984,Cc1cc(/C=C2\SC(=S)NC2=O)c(C)n1-c1ccc(O)cc1,inactive,rank1_confidence-0.47.sdf
CHEMBL1482783,CC(=O)c1c(C)[nH]c(C(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2C)c1C,inactive,rank1_confidence-1.51.sdf
CHEMBL1730444,O=C(Nc1ccc(F)c(F)c1)c1cc(S(=O)(=O)NC2CCCC2)ccc1F,active,rank1_confidence-1.27.sdf
CHEMBL1561254,Cn1ccnc1Sc1nc(Nc2cccc(Cl)c2)nc(N2CCOCC2)n1,inactive,rank1_confidence-1.89.sdf
CHEMBL1438870,Cl.Nc1ccc2[nH]c(C3CCCCC3)nc2c1,inactive,rank1_confidence-0.75.sdf
CHEMBL3199456,O=C1CS/C(=N\c2ccc(Cl)cc2)N1Cc1ccco1,active,rank1_confidence-0.47.sdf
CHEMBL1602747,CC(C)CN(C(=O)c1ccc(=O)n(C)n1)c1nc2ccccc2s1,inactive,rank1_confidence-2.00.sdf
CHEMBL1341209,CCOC(=O)c1cc(-c2ccc(F)cc2)n(CCC(=O)NC2CCN(Cc3ccccc3)CC2)c1C,active,rank1_confidence-0.93.sdf
CHEMBL1407200,COCC(C)N1CC(=O)C(c2nc(-c3ccc(Cl)cc3)cs2)=C1N,inactive,rank1_confidence-0.66.sdf
CHEMBL1334336,Cn1c(=O)n(C)c2cc(CN3C(=O)OC(C)(C)C3(C)O)ccc21,inactive,rank1_confidence-0.58.sdf
CHEMBL1531380,COc1ccc(CCNC(=O)CCCn2c(=O)c3cccn3c3cccnc32)c(OC)c1OC,inactive,rank1_confidence-1.13.sdf
CHEMBL259805,Cc1ccc(-c2nc(-c3ccccn3)no2)cc1Cl,active,rank1_confidence-0.36.sdf
CHEMBL1325486,O=C1CN(Cc2cc(=O)oc3cc4c(cc23)CCC4)CCN1,inactive,rank1_confidence-0.62.sdf
CHEMBL1439445,Cc1cc(NC(=O)c2cnn3cccnc23)n(-c2ccccc2)n1,inactive,rank1_confidence-0.79.sdf
CHEMBL1495140,O=C(Nc1cccc(-c2csc(Nc3cccc(C(F)(F)F)c3)n2)c1)c1ccccc1,active,rank1_confidence-0.85.sdf
CHEMBL1436425,CC(=O)Nc1ccc(S(=O)(=O)N(C)CC(=O)OCC(=O)N2CCN(C(=O)c3ccco3)CC2)cc1,inactive,rank1_confidence-0.64.sdf
CHEMBL1306995,CCn1c(=O)cc(OCC(=O)NCCC(C)C)c2ccccc21,inactive,rank1_confidence-1.55.sdf
CHEMBL3211335,Cc1ccc(S(=O)(=O)N2C/C=C\CN(S(=O)(=O)c3ccccc3Br)CC2)cc1,active,rank1_confidence-1.96.sdf
CHEMBL1558572,COc1ccc(C(=O)Nc2cccc3nc(C)ccc23)cc1OC,inactive,rank1_confidence-0.60.sdf
CHEMBL1399531,Cl.O=C(O)c1ccc(Nc2ncnc3scc(-c4ccccc4)c23)cc1,inactive,rank1_confidence-0.49.sdf
CHEMBL1426565,O=C(CSc1nc(Nc2ccccc2)nc(N2CCOCC2)n1)Nc1cc(Cl)ccc1O,active,rank1_confidence-1.74.sdf
CHEMBL1430328,Cc1c(NC(=O)CSc2cccc3cccnc23)c(=O)n(-c2ccccc2)n1C,active,rank1_confidence-0.99.sdf
CHEMBL1307304,Cc1cc(C)c(S(=O)(=O)c2ccccc2)c(OC(=O)c2c(Cl)cc(Cl)cc2Cl)n1,active,rank1_confidence-1.66.sdf
CHEMBL1599951,CCC(CC)NC(=O)/C=C/c1cccc([N+](=O)[O-])c1,inactive,rank1_confidence-1.03.sdf
CHEMBL3195472,CCc1ccc(C(=O)N/N=C/c2ccncc2)s1,inactive,rank1_confidence-0.73.sdf
CHEMBL589909,CCc1ccccc1Nc1nc(-c2cccnc2)cs1,active,rank1_confidence-0.95.sdf
CHEMBL1551205,O=C(COc1ccc(S(=O)(=O)N2CCOCC2)cc1)Nc1ccccc1F,inactive,rank1_confidence-0.76.sdf
CHEMBL1485035,O=C1NCCN(Cc2ccc(F)cc2)C1CC(=O)N1CC=C(c2ccccc2)CC1,inactive,rank1_confidence-0.96.sdf
CHEMBL1527532,Cn1c(=O)n(C)c2cc(N3CCOCC3)c(NS(=O)(=O)c3ccc(Br)cc3)cc21,inactive,rank1_confidence-1.69.sdf
CHEMBL250100,CN1CCN(c2ccc3c(c2)S(=O)(=O)c2ccccc2C3=O)CC1,inactive,rank1_confidence-0.57.sdf
CHEMBL1501511,CNc1nc(Cl)nc(NC(C)(C)C)n1,inactive,rank1_confidence-0.15.sdf
CHEMBL1370733,Cc1cc(SCC(=O)c2cc3ccccc3o2)nc2ccccc12,inactive,rank1_confidence-0.65.sdf
CHEMBL1537343,COc1cc(S(=O)(=O)N(Cc2cccnc2)Cc2cccc(OC)c2OC)ccc1-n1cnnn1,inactive,rank1_confidence-1.80.sdf
CHEMBL1551521,COc1ccc(S(=O)(=O)N2CCCCCC2)cc1C(=O)NCc1ccc(C)cc1,active,rank1_confidence-0.62.sdf
CHEMBL1310224,Cc1nnc(O)c2c(NC(=O)CSc3nc4ccccc4c(=O)n3CCCO)oc(C)c12,inactive,rank1_confidence-1.07.sdf
CHEMBL3209487,C(=N/c1ccc(N2CCOCC2)cc1)\c1c[nH]c2ccccc12,inactive,rank1_confidence-0.64.sdf
CHEMBL535953,c1ccc(OCCCCN2CCCCC2)cc1,inactive,rank1_confidence-0.56.sdf
CHEMBL1370416,Cc1cc(C)cc(OCC(=O)NCCc2nc3ccccc3[nH]2)c1,inactive,rank1_confidence-1.76.sdf
CHEMBL1710214,Cc1nnc2ccc(-c3ccc(NS(=O)(=O)c4ccccc4[N+](=O)[O-])cc3)nn12,inactive,rank1_confidence-0.74.sdf
CHEMBL1340293,CCn1c(O)c(N=NC(=O)c2ccc(CSc3nncn3C)cc2)c2ccccc21,inactive,rank1_confidence-0.83.sdf
CHEMBL1528841,Nc1ccc(N2CCOCC2)c(Cl)c1,inactive,rank1_confidence-0.47.sdf
CHEMBL1546932,CCC(=O)N1CCN(c2ccc(NC(=O)COc3ccccc3Cl)cc2)CC1,inactive,rank1_confidence-0.69.sdf
CHEMBL570468,COc1ccc(-c2cc3ccccc3[nH]2)cc1,inactive,rank1_confidence-0.52.sdf
CHEMBL1555762,Cc1ccc(NS(=O)(=O)c2ccc(C(=O)N3CCCN(C)CC3)cc2)cc1,active,rank1_confidence-0.48.sdf
CHEMBL1589047,COCCCN=C(S)N1CCC(C(=O)c2ccc(Cl)cc2)CC1,active,rank1_confidence-0.60.sdf
CHEMBL1569826,CCOC(=O)c1sc(SC)nc1N,inactive,rank1_confidence-0.62.sdf
CHEMBL1507533,Cc1ccc(OCCSc2nc3[nH]cnc(N)c-3n2)cc1,inactive,rank1_confidence-0.62.sdf
CHEMBL1876074,O=C(COC(=O)Cc1ccccc1F)NNC(=O)c1ccc([N+](=O)[O-])cc1,inactive,rank1_confidence-0.60.sdf
CHEMBL1359684,Cc1cc(Cl)c2oc(C(=O)N3CCN(C(=O)c4ccco4)CC3)c(C)c2c1,inactive,rank1_confidence-0.70.sdf
CHEMBL1582724,COC(=O)c1sccc1NC(=O)c1ccncc1,inactive,rank1_confidence-0.64.sdf
CHEMBL1574918,CC(C)NC1=NN=C(c2cccs2)C(CC(=O)O)S1,inactive,rank1_confidence-1.01.sdf
CHEMBL1575637,CCOc1ccc(CCNS(=O)(=O)c2cn(C)cn2)cc1OCC,inactive,rank1_confidence-0.91.sdf
CHEMBL1468195,CC(=O)c1c(C)[nH]c(C(=O)Nc2ccc(C)c(S(=O)(=O)Nc3ccc(C)cc3C)c2)c1C,active,rank1_confidence-2.06.sdf
CHEMBL1535991,CC(C)(c1ccccc1)c1ccc(OCCCN2CCNCC2)cc1.O=C(O)C(=O)O,active,rank1_confidence-0.99.sdf
CHEMBL1344343,CCn1c(=O)c(C(=O)CN(C)Cc2ccc(F)cc2)c(N)n(Cc2ccccc2)c1=O,active,rank1_confidence-1.48.sdf
CHEMBL1362542,CCOCC(=O)Nc1c(C(=O)OCC)oc2ccccc12,inactive,rank1_confidence-1.14.sdf
